"GEOID","NAME","acs","census","pep","lon","lat","worldpop","fb"
"22021","Caldwell Parish, Louisiana",10188,10132,10148,-92.1204061358145,32.0899538400139,10107.609486724,9175.55353507168
"22023","Cameron Parish, Louisiana",7280,6839,6917,-93.1890201655091,29.8903833808089,6811.47251302126,5587.33459348116
"22025","Catahoula Parish, Louisiana",10465,10407,10377,-91.8492409058804,31.6660091252807,10440.9753608808,9931.90979988153
"22027","Claiborne Parish, Louisiana",17160,17195,17175,-92.995141578664,32.8254574917373,17232.1248468171,16053.69477973
"22029","Concordia Parish, Louisiana",20502,20822,20839,-91.6418638811872,31.455135431679,20875.6337106041,20722.1162482586
"22031","De Soto Parish, Louisiana",26465,26656,26670,-93.7382691730021,32.0657385558288,26541.546970367,25127.8143286641
"22033","East Baton Rouge Parish, Louisiana",435815,440171,440912,-91.0981440554658,30.5361795311602,440147.90876278,448051.27565166
"22035","East Carroll Parish, Louisiana",7964,7759,7737,-91.2447429753971,32.7237132623835,7708.99630603683,5612.08422930292
"22037","East Feliciana Parish, Louisiana",20417,20267,20157,-91.0461000027683,30.8453405143624,20242.5037688764,19419.6306185623
"22039","Evangeline Parish, Louisiana",34419,33984,33956,-92.404514786544,30.7335604553653,33599.9670234182,32773.3973580373
"22041","Franklin Parish, Louisiana",20727,20767,20810,-91.6768981554764,32.1357159621873,20831.5431812006,18703.7465785238
"22043","Grant Parish, Louisiana",21675,22309,22336,-92.5545857021694,31.6036538337625,22392.9093124985,23834.007715429
"22045","Iberia Parish, Louisiana",73395,73240,73111,-91.6969918605894,29.9695837464931,72609.7282905942,72091.6804655938
"22047","Iberville Parish, Louisiana",33513,33387,33388,-91.3608630569358,30.2589783848691,33627.6581093117,32928.3877191453
"22049","Jackson Parish, Louisiana",16078,16274,16307,-92.5580266719916,32.3047151644176,16403.3453615145,15216.2720880985
"22051","Jefferson Parish, Louisiana",431019,432552,432610,-90.1190545743792,29.7182659175761,425598.953987548,417169.989335984
"22053","Jefferson Davis Parish, Louisiana",31500,31594,31632,-92.8074352001513,30.2698467516522,31910.0967245548,31269.912592696
"22055","Lafayette Parish, Louisiana",215581,221578,222315,-92.0602529588251,30.2132171198009,221571.882217921,236156.238522419
"22057","Lafourche Parish, Louisiana",95428,96318,96745,-90.4356867337128,29.5747298506299,96097.4288266426,98821.5957165632
"22059","La Salle Parish, Louisiana",14680,14890,14908,-92.1643619567114,31.6783611406454,14790.6878174322,14814.1294030841
"22061","Lincoln Parish, Louisiana",45797,46735,46850,-92.6649459825186,32.6056550184709,46496.6642225008,44572.2035071884
"22063","Livingston Parish, Louisiana",122798,128026,128337,-90.7190199385747,30.4413090080978,127665.699742963,148978.435846727
"22065","Madison Parish, Louisiana",12286,12093,12106,-91.2477671282129,32.3702503604099,12184.4861785528,10083.8193981789
